Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount
59,2023-02-13,CUST006,Female,45,Electronics,2,599.99,1199.98
60,2023-02-14,CUST007,Male,38,Beauty,1,29.99,29.99
61,2023-02-14,CUST008,Female,33,Sports,3,179.99,539.97
62,2023-02-15,CUST009,Male,27,Clothing,2,79.99,159.98
63,2023-02-15,CUST010,Female,52,Home & Garden,1,299.99,299.99
64,2023-02-16,CUST011,Female,39,Electronics,1,899.99,899.99
65,2023-02-16,CUST012,Male,31,Beauty,2,49.99,99.98
66,2023-02-17,CUST013,Female,26,Sports,1,199.99,199.99
67,2023-02-17,CUST014,Male,48,Clothing,3,99.99,299.97
68,2023-02-18,CUST015,Female,34,Home & Garden,2,149.99,299.98
69,2023-02-18,CUST016,Male,29,Electronics,1,1299.99,1299.99
70,2023-02-19,CUST017,Female,41,Beauty,1,64.99,64.99
71,2023-02-19,CUST018,Male,36,Sports,2,229.99,459.98
72,2023-02-20,CUST019,Female,30,Clothing,1,89.99,89.99
73,2023-02-20,CUST020,Male,44,Home & Garden,3,79.99,239.97
74,2023-02-21,CUST021,Female,27,Electronics,2,449.99,899.98
75,2023-02-21,CUST022,Male,38,Beauty,1,34.99,34.99
76,2023-02-22,CUST023,Female,32,Sports,1,279.99,279.99
77,2023-02-22,CUST024,Male,45,Clothing,2,129.99,259.98
78,2023-02-23,CUST025,Female,29,Home & Garden,1,199.99,199.99
79,2023-02-23,CUST026,Male,37,Electronics,1,799.99,799.99
80,2023-02-24,CUST027,Female,33,Beauty,3,44.99,134.97
81,2023-02-24,CUST028,Male,40,Sports,2,149.99,299.98
82,2023-02-25,CUST029,Female,35,Clothing,1,159.99,159.99
83,2023-02-25,CUST030,Male,28,Home & Garden,2,119.99,239.98
84,2023-02-26,CUST031,Female,46,Electronics,1,699.99,699.99
85,2023-02-26,CUST032,Male,31,Beauty,1,49.99,49.99
86,2023-02-27,CUST033,Female,39,Sports,3,199.99,599.97
87,2023-02-27,CUST034,Male,43,Clothing,2,99.99,199.98
88,2023-02-28,CUST035,Female,25,Home & Garden,1,249.99,249.99
89,2023-03-01,CUST036,Male,34,Electronics,2,599.99,1199.98
90,2023-03-01,CUST037,Female,42,Beauty,1,59.99,59.99
91,2023-03-02,CUST038,Male,36,Sports,1,329.99,329.99
92,2023-03-02,CUST039,Female,30,Clothing,3,79.99,239.97
93,2023-03-03,CUST040,Male,47,Home & Garden,1,179.99,179.99
94,2023-03-03,CUST041,Female,28,Electronics,1,899.99,899.99
95,2023-03-04,CUST042,Male,35,Beauty,2,39.99,79.98
96,2023-03-04,CUST043,Female,38,Sports,2,249.99,499.98
97,2023-03-05,CUST044,Male,41,Clothing,1,119.99,119.99
98,2023-03-05,CUST045,Female,33,Home & Garden,2,159.99,319.98
99,2023-03-06,CUST046,Male,29,Electronics,1,1099.99,1099.99
100,2023-03-06,CUST047,Female,44,Beauty,3,29.99,89.97
